5,5,5,3,0,3,4,4,1,4,4,0,0,0,2,0,4,2,4,1,2,1,3,-1,0,0,-1,5,0,0,5,-1,-5,-1,-5,-1,-9,-5,-4,-5,-2,-9,-5,-6,-3,-9,-1,-5,-7,-1,-10,-5,-6,-8,-4,-2,-8,-4,-9,-10,-8,-5,-6,-9,-2,-4,-1,-1,-5,-10,-9,-13791,-9491,-9917,29829,-20025,19483,-11763,-1757,-14662,-15181,4674,-10058,6724,24836,27974,-15750,-30719,14098,27991,-22384,-29240,-25375,-31880,8500,-32598,-10719,-6521,-21510,-1465,-13434,30586,11649,21775,-352,-32056,24071,2594,19261,19886,-16375
5,5,5,0,0,4,0,0,2,3,2,4,1,4,3,1,3,3,3,0,1,1,1,-1,0,0,-1,5,0,0,5,-5,-8,-2,-10,-9,-3,-3,-6,-6,-2,-1,-1,-2,-9,-10,-4,-2,-10,-2,-4,-4,-7,-4,-7,-8,-1,-9,-6,-1,-10,-1,-2,-8,-3,-1,-10,-1,-10,-2,-7,-2101,-28634,136,30886,8785,-15813,25030,-1929,-10121,-14939,15320,-13423,-30194,-4631,-7855,10747,16095,12761,-22933,27565,1980,-19420,-20032,20,-3429,-9652,-22079,23698,5784,13082,28490,14333,-23544,-18444,18713,796,9322,-10434,23572,-17722
5,10,5,0,2,4,2,6,2,9,2,3,0,5,0,7,0,9,0,1,1,2,1,-1,0,0,-1,5,0,0,10,-2,-10,-10,-8,-10,-5,-5,-6,-1,-4,-8,-8,-8,-3,-10,-3,-2,-3,-9,-10,-1,-2,-7,-3,-1,-1,-10,-8,-6,-8,-9,-2,-3,-7,-10,-1,-10,-2,-5,-1,17397,7069,-31636,21612,375,11030,-12029,-23611,11779,-14702,31545,-5562,-8045,20031,-8387,-5297,30046,-2096,720,10801,-8162,-30483,-17301,22768,4693,31649,31766,7472,-28677,-12825,27511,3982,-7873,21519,-26170,-22033,-10993,-29505,2023,-23681
5,10,5,2,2,6,2,2,1,5,1,6,1,8,1,1,1,1,3,4,3,5,3,-1,0,0,-1,5,0,0,10,-5,-6,-5,-4,-2,-4,-4,-5,-5,-9,-5,-7,-1,-7,-5,-5,-7,-2,-9,-2,-10,-1,-5,-5,-7,-5,-2,-5,-7,-10,-1,-2,-4,-4,-9,-7,-7,-1,-9,-10,27341,185,28421,-26868,-18960,29510,-23609,-18532,8558,-27908,-23970,-27465,-19193,-3152,-26309,-273,21332,25240,8531,28964,26256,20916,-15291,-12560,15698,3426,-21074,6406,-16234,8248,-20648,-15349,20869,27560,-12175,-11068,422,6586,21244,-25706
10,5,5,0,2,4,2,0,1,3,1,0,9,2,9,0,8,2,8,4,0,4,1,-1,0,0,-1,10,0,0,5,-8,-1,-4,-3,-7,-1,-10,-6,-5,-3,-7,-8,-8,-5,-1,-8,-9,-6,-1,-10,-5,-6,-9,-2,-4,-3,-6,-10,-5,-10,-5,-9,-3,-3,-3,-9,-10,-2,-6,-6,-26233,7296,-3096,8099,31986,-9404,26217,-20584,31170,-14435,4179,31207,18751,-8049,30244,-11104,30178,-25344,-15046,-23435,2528,13786,26793,-28792,14363,-7420,12631,11007,-31117,-24512,-17439,7231,-32444,-32496,32630,-22321,20860,23890,28837,-29014
10,5,5,0,3,4,3,0,2,3,2,4,0,4,2,2,8,4,8,0,4,0,5,-1,0,0,-1,10,0,0,5,-2,-7,-5,-4,-2,-1,-8,-5,-10,-6,-5,-6,-10,-6,-10,-5,-5,-9,-5,-8,-5,-4,-7,-8,-1,-5,-2,-2,-7,-9,-5,-9,-5,-4,-6,-7,-10,-1,-10,-9,-11982,-14491,-14672,-9010,-13846,18926,4982,-13801,-31215,31475,6739,29485,8976,-28096,32584,28260,18972,9271,-13424,22632,-13275,-79,27106,11351,-6265,28981,-3718,24993,26703,-28782,-25432,28760,10201,-27838,10500,-25907,14301,11270,16303,4090
8,8,5,1,4,5,4,3,3,6,3,5,5,5,7,2,2,4,2,0,2,0,3,-1,0,0,-1,8,0,0,8,-8,-4,-8,-8,-9,-5,-2,-2,-8,-1,-7,-5,-8,-6,-6,-5,-3,-9,-5,-10,-4,-2,-5,-4,-9,-2,-4,-4,-5,-9,-9,-9,-2,-2,-7,-1,-7,-6,-1,-5,13728,-8768,8189,26114,3924,-53,-783,18521,9937,-22615,-21624,-28693,28975,-11710,-10752,-2294,-7118,9826,-7107,-25470,3139,4211,13092,18464,-11160,-12352,-29305,-944,-26900,-10474,7881,19910,-4756,-5470,6344,21558,-955,-11787,-5634,29346
8,8,5,2,1,2,5,6,2,6,5,5,3,5,5,1,2,1,4,3,1,3,2,-1,0,0,-1,8,0,0,8,-9,-4,-10,-5,-10,-10,-8,-7,-8,-2,-1,-8,-8,-2,-7,-4,-7,-4,-6,-4,-6,-2,-10,-4,-2,-4,-3,-8,-10,-9,-8,-4,-3,-5,-1,-3,-6,-1,-4,-3,-26529,-6457,-30934,-22413,-12670,2539,-7304,-7805,-19502,27598,-20339,-7330,25551,20912,6648,-5399,16336,-21247,24734,23193,5546,13807,-9316,17670,400,-14650,-22895,-8798,-28620,24979,-3146,-27301,-29187,-4675,-5779,-1347,22224,25072,-26879,-27114
10,10,5,4,5,8,5,1,8,4,8,7,0,9,0,7,1,9,1,1,4,2,4,-1,0,0,-1,10,0,0,10,-5,-3,-3,-2,-1,-2,-3,-7,-8,-9,-7,-4,-10,-8,-4,-3,-3,-1,-5,-10,-5,-9,-1,-4,-6,-8,-5,-6,-7,-2,-8,-5,-10,-1,-4,-6,-1,-10,-3,-7,-16778,5120,32188,13951,21080,-16687,20545,-5783,26869,5441,919,20720,14048,-5965,-19064,-24769,23431,23391,-545,10017,-2946,26277,23556,14364,29620,4657,-11186,-14196,-8273,-15584,16406,-2253,-20750,-4238,32389,4964,-12048,5332,-7129,2241
10,10,5,8,3,8,7,2,3,5,3,5,0,5,2,8,0,8,2,0,8,1,8,-1,0,0,-1,10,0,0,10,-10,-3,-3,-9,-4,-9,-8,-4,-10,-6,-10,-6,-6,-8,-7,-9,-10,-6,-5,-2,-5,-8,-10,-5,-10,-6,-3,-5,-4,-6,-5,-5,-3,-5,-7,-5,-5,-8,-9,-8,-5312,1104,-9371,22984,-25437,22968,15709,16027,-18968,19131,-2551,29617,32375,4667,17338,10806,8964,29378,19856,-10550,-31875,-493,10675,-14669,26339,26645,-15418,7225,-30286,20111,15189,-19058,23110,-8547,19083,-10601,-9989,24920,-847,-30857
