5,5,5,2,0,2,4,4,1,4,4,0,2,0,4,3,0,3,2,0,1,1,1,0,2,0,3,2,2,2,4,3,0,1,2,2,0,1,3,1,1,1,4,2,3,4,4,3,2,1,0,3,4,4,0,4,2
5,5,5,1,0,1,4,3,0,3,3,0,1,0,3,2,1,2,3,4,2,4,3,2,4,1,3,1,1,3,2,2,2,2,3,3,3,0,1,2,0,1,2,2,1,0,3,3,1,3,0,1,0,4,1,3,4
5,10,5,4,1,8,1,0,4,3,4,4,4,6,4,2,1,2,3,8,2,9,2,4,6,1,7,1,5,1,4,4,4,4,3,4,1,2,8,3,2,4,0,4,2,2,2,2,9,1,6,4,5,1,2,1,8
5,10,5,2,0,2,4,3,1,3,4,5,0,5,2,4,0,4,2,6,3,6,4,2,3,4,3,2,4,0,5,2,2,1,2,1,5,0,4,1,4,3,2,4,2,3,3,3,6,1,3,0,2,4,6,2,5
10,5,5,0,5,4,5,4,1,4,4,3,6,3,8,0,8,2,8,0,1,0,2,3,4,4,4,8,0,7,3,5,3,5,4,5,2,8,2,2,4,8,3,6,3,8,1,5,0,1,0,1,4,5,1,2,0
10,5,5,0,5,4,5,1,4,4,4,1,1,1,3,0,0,0,2,4,1,4,2,0,0,3,1,4,4,5,1,5,2,5,4,2,0,4,2,1,1,4,3,4,1,1,0,1,4,5,0,2,1,2,4,5,3
8,8,5,7,1,7,5,0,3,3,3,3,5,5,5,4,2,6,2,6,0,6,1,4,7,1,7,0,6,3,0,2,5,3,3,3,7,2,6,1,6,5,4,5,3,3,1,5,7,3,2,2,7,5,5,2,4
8,8,5,2,3,2,7,0,0,0,3,4,4,6,4,3,7,5,7,0,4,0,5,4,0,6,2,3,0,7,2,0,0,5,0,2,0,1,0,3,2,7,3,4,5,5,2,7,4,4,2,7,5,4,4,4,6
10,10,5,3,7,7,7,0,9,3,9,3,3,3,5,7,8,9,8,4,6,5,6,9,2,8,9,9,3,6,4,8,8,7,3,9,1,9,0,3,3,5,3,8,7,6,5,7,5,7,7,7,6,4,3,7,4
10,10,5,7,5,7,9,4,0,7,0,5,7,5,9,2,2,4,2,6,1,6,2,0,5,0,7,0,6,2,3,7,7,2,2,2,4,8,7,9,5,0,4,9,7,5,7,6,7,1,6,2,6,7,5,8,5
10,10,5,4,0,8,0,0,3,0,6,2,1,4,1,2,5,4,5,1,9,2,9,0,8,5,4,9,1,3,0,0,6,1,2,0,4,0,5,5,0,5,3,5,2,1,3,4,0,6,0,9,2,0,7,1,4
10,10,5,5,3,5,7,8,2,8,5,6,1,6,3,3,6,3,8,6,6,7,6,3,6,2,8,2,6,5,5,8,3,1,6,7,5,6,5,6,7,4,5,5,8,3,8,6,3,4,8,7,3,6,6,3,5
15,15,5,2,14,6,14,11,1,14,1,4,8,6,8,1,7,3,7,1,2,2,2,14,6,7,3,1,14,14,4,14,2,2,1,1,11,7,1,8,4,14,3,8,6,8,5,2,2,14,5,1,13,1,12,7,2
20,20,5,13,14,13,18,16,5,19,5,5,6,5,8,12,3,14,3,2,2,3,2,5,19,3,13,6,5,5,17,16,13,2,2,15,13,5,18,17,13,7,5,5,16,8,5,2,3,18,13,14,13,3,12,3,14
